Year,Month Number,Month,Year-Month,Dividend_Per_Share,Estimated_Income
1987,5,May,1987-05,0.0005,0.05
1987,8,Aug,1987-08,0.0005,0.05
1987,11,Nov,1987-11,0.0007,0.07
1988,2,Feb,1988-02,0.0007,0.07
1988,5,May,1988-05,0.0007,0.07
1988,8,Aug,1988-08,0.0007,0.07
1988,11,Nov,1988-11,0.0009,0.09
1989,2,Feb,1989-02,0.0009,0.09
1989,5,May,1989-05,0.0009,0.09
1989,8,Aug,1989-08,0.0009,0.09
1989,11,Nov,1989-11,0.001,0.1
1990,2,Feb,1990-02,0.001,0.1
1990,5,May,1990-05,0.001,0.1
1990,8,Aug,1990-08,0.001,0.1
1990,11,Nov,1990-11,0.0011,0.11
1991,2,Feb,1991-02,0.0011,0.11
1991,5,May,1991-05,0.0011,0.11
1991,8,Aug,1991-08,0.0011,0.11
1991,11,Nov,1991-11,0.0011,0.11
1992,2,Feb,1992-02,0.0011,0.11
1992,6,Jun,1992-06,0.0011,0.11
1992,8,Aug,1992-08,0.0011,0.11
1992,11,Nov,1992-11,0.0011,0.11
1993,2,Feb,1993-02,0.0011,0.11
1993,5,May,1993-05,0.0011,0.11
1993,8,Aug,1993-08,0.0011,0.11
1993,11,Nov,1993-11,0.0011,0.11
1994,2,Feb,1994-02,0.0011,0.11
1994,5,May,1994-05,0.0011,0.11
1994,8,Aug,1994-08,0.0011,0.11
1994,11,Nov,1994-11,0.0011,0.11
1995,2,Feb,1995-02,0.0011,0.11
1995,5,May,1995-05,0.0011,0.11
1995,8,Aug,1995-08,0.0011,0.11
1995,11,Nov,1995-11,0.0011,0.11
2012,8,Aug,2012-08,0.0946,9.46
2012,11,Nov,2012-11,0.0946,9.46
2013,2,Feb,2013-02,0.0946,9.46
2013,5,May,2013-05,0.1089,10.89
2013,8,Aug,2013-08,0.1089,10.89
2013,11,Nov,2013-11,0.1089,10.89
2014,2,Feb,2014-02,0.1089,10.89
2014,5,May,2014-05,0.1175,11.75
2014,8,Aug,2014-08,0.1175,11.75
2014,11,Nov,2014-11,0.1175,11.75
2015,2,Feb,2015-02,0.1175,11.75
2015,5,May,2015-05,0.13,13.0
2015,8,Aug,2015-08,0.13,13.0
2015,11,Nov,2015-11,0.13,13.0
2016,2,Feb,2016-02,0.13,13.0
2016,5,May,2016-05,0.1425,14.25
2016,8,Aug,2016-08,0.1425,14.25
2016,11,Nov,2016-11,0.1425,14.25
2017,2,Feb,2017-02,0.1425,14.25
2017,5,May,2017-05,0.1575,15.75
2017,8,Aug,2017-08,0.1575,15.75
2017,11,Nov,2017-11,0.1575,15.75
2018,2,Feb,2018-02,0.1575,15.75
2018,5,May,2018-05,0.1825,18.25
2018,8,Aug,2018-08,0.1825,18.25
2018,11,Nov,2018-11,0.1825,18.25
2019,2,Feb,2019-02,0.1825,18.25
2019,5,May,2019-05,0.1925,19.25
2019,8,Aug,2019-08,0.1925,19.25
2019,11,Nov,2019-11,0.1925,19.25
2020,2,Feb,2020-02,0.1925,19.25
2020,5,May,2020-05,0.205,20.5
2020,8,Aug,2020-08,0.205,20.5
2020,11,Nov,2020-11,0.205,20.5
2021,2,Feb,2021-02,0.205,20.5
2021,5,May,2021-05,0.22,22.0
2021,8,Aug,2021-08,0.22,22.0
2021,11,Nov,2021-11,0.22,22.0
2022,2,Feb,2022-02,0.22,22.0
2022,5,May,2022-05,0.23,23.0
2022,8,Aug,2022-08,0.23,23.0
2022,11,Nov,2022-11,0.23,23.0
2023,2,Feb,2023-02,0.23,23.0
2023,5,May,2023-05,0.24,24.0
2023,8,Aug,2023-08,0.24,24.0
2023,11,Nov,2023-11,0.24,24.0
2024,2,Feb,2024-02,0.24,24.0
2024,5,May,2024-05,0.25,25.0
2024,8,Aug,2024-08,0.25,25.0
2024,11,Nov,2024-11,0.25,25.0
2025,2,Feb,2025-02,0.25,25.0
2025,5,May,2025-05,0.26,26.0
2025,8,Aug,2025-08,0.26,26.0
2025,11,Nov,2025-11,0.26,26.0
2026,2,Feb,2026-02,0.26,26.0
